word_id,word_no,label,training_sample_count,example_sample_ids,label_variants,duplicate_label_word_count,duplicate_label_word_ids,source_split
WORD0001,1,고민,80,NIA_SL_WORD0001_REAL01_D_morpheme|NIA_SL_WORD0001_REAL01_F_morpheme|NIA_SL_WORD0001_REAL01_L_morpheme|NIA_SL_WORD0001_REAL01_R_morpheme|NIA_SL_WORD0001_REAL01_U_morpheme,고민:80,1,WORD0001,Training
WORD0002,2,뻔뻔,80,NIA_SL_WORD0002_REAL01_D_morpheme|NIA_SL_WORD0002_REAL01_F_morpheme|NIA_SL_WORD0002_REAL01_L_morpheme|NIA_SL_WORD0002_REAL01_R_morpheme|NIA_SL_WORD0002_REAL01_U_morpheme,뻔뻔:80,4,WORD0002|WORD1598|WORD2547|WORD2550,Training
WORD0003,3,수어,80,NIA_SL_WORD0003_REAL01_D_morpheme|NIA_SL_WORD0003_REAL01_F_morpheme|NIA_SL_WORD0003_REAL01_L_morpheme|NIA_SL_WORD0003_REAL01_R_morpheme|NIA_SL_WORD0003_REAL01_U_morpheme,수어:80,1,WORD0003,Training
WORD0004,4,남아,80,NIA_SL_WORD0004_REAL01_D_morpheme|NIA_SL_WORD0004_REAL01_F_morpheme|NIA_SL_WORD0004_REAL01_L_morpheme|NIA_SL_WORD0004_REAL01_R_morpheme|NIA_SL_WORD0004_REAL01_U_morpheme,남아:80,1,WORD0004,Training
WORD0005,5,눈,80,NIA_SL_WORD0005_REAL01_D_morpheme|NIA_SL_WORD0005_REAL01_F_morpheme|NIA_SL_WORD0005_REAL01_L_morpheme|NIA_SL_WORD0005_REAL01_R_morpheme|NIA_SL_WORD0005_REAL01_U_morpheme,눈:80,2,WORD0005|WORD1372,Training
WORD0006,6,독신,80,NIA_SL_WORD0006_REAL01_D_morpheme|NIA_SL_WORD0006_REAL01_F_morpheme|NIA_SL_WORD0006_REAL01_L_morpheme|NIA_SL_WORD0006_REAL01_R_morpheme|NIA_SL_WORD0006_REAL01_U_morpheme,독신:80,1,WORD0006,Training
WORD0007,7,음료수,80,NIA_SL_WORD0007_REAL01_D_morpheme|NIA_SL_WORD0007_REAL01_F_morpheme|NIA_SL_WORD0007_REAL01_L_morpheme|NIA_SL_WORD0007_REAL01_R_morpheme|NIA_SL_WORD0007_REAL01_U_morpheme,음료수:80,1,WORD0007,Training
WORD0008,8,발가락,80,NIA_SL_WORD0008_REAL01_D_morpheme|NIA_SL_WORD0008_REAL01_F_morpheme|NIA_SL_WORD0008_REAL01_L_morpheme|NIA_SL_WORD0008_REAL01_R_morpheme|NIA_SL_WORD0008_REAL01_U_morpheme,발가락:80,1,WORD0008,Training
WORD0009,9,슬프다,80,NIA_SL_WORD0009_REAL01_D_morpheme|NIA_SL_WORD0009_REAL01_F_morpheme|NIA_SL_WORD0009_REAL01_L_morpheme|NIA_SL_WORD0009_REAL01_R_morpheme|NIA_SL_WORD0009_REAL01_U_morpheme,슬프다:80,1,WORD0009,Training
WORD0010,10,자극,80,NIA_SL_WORD0010_REAL01_D_morpheme|NIA_SL_WORD0010_REAL01_F_morpheme|NIA_SL_WORD0010_REAL01_L_morpheme|NIA_SL_WORD0010_REAL01_R_morpheme|NIA_SL_WORD0010_REAL01_U_morpheme,자극:80,1,WORD0010,Training
