sample_id,label,angle,morpheme_path,start,end,duration,split
NIA_SL_WORD0001_REAL13_D,고민,D,generated_from_REAL13_keypoint,1.743,3.103,4.867,train
NIA_SL_WORD0001_REAL13_F,고민,F,generated_from_REAL13_keypoint,1.743,3.103,4.867,train
NIA_SL_WORD0001_REAL13_L,고민,L,generated_from_REAL13_keypoint,1.743,3.103,4.867,train
NIA_SL_WORD0001_REAL13_R,고민,R,generated_from_REAL13_keypoint,1.743,3.103,4.867,train
NIA_SL_WORD0001_REAL13_U,고민,U,generated_from_REAL13_keypoint,1.743,3.103,4.867,validation
NIA_SL_WORD0009_REAL13_D,슬프다,D,generated_from_REAL13_keypoint,1.438,3.372,4.367,train
NIA_SL_WORD0009_REAL13_F,슬프다,F,generated_from_REAL13_keypoint,1.438,3.372,4.367,train
NIA_SL_WORD0009_REAL13_L,슬프다,L,generated_from_REAL13_keypoint,1.438,3.372,4.367,train
NIA_SL_WORD0009_REAL13_R,슬프다,R,generated_from_REAL13_keypoint,1.438,3.372,4.367,train
NIA_SL_WORD0009_REAL13_U,슬프다,U,generated_from_REAL13_keypoint,1.438,3.372,4.367,validation
NIA_SL_WORD0011_REAL13_D,안타깝다,D,generated_from_REAL13_keypoint,1.17,2.791,3.734,train
NIA_SL_WORD0011_REAL13_F,안타깝다,F,generated_from_REAL13_keypoint,1.17,2.791,3.734,train
NIA_SL_WORD0011_REAL13_L,안타깝다,L,generated_from_REAL13_keypoint,1.17,2.791,3.734,train
NIA_SL_WORD0011_REAL13_R,안타깝다,R,generated_from_REAL13_keypoint,1.17,2.791,3.734,train
NIA_SL_WORD0011_REAL13_U,안타깝다,U,generated_from_REAL13_keypoint,1.17,2.791,3.734,validation
NIA_SL_WORD0012_REAL13_D,어색하다,D,generated_from_REAL13_keypoint,1.468,2.919,3.967,train
NIA_SL_WORD0012_REAL13_F,어색하다,F,generated_from_REAL13_keypoint,1.468,2.919,3.967,train
NIA_SL_WORD0012_REAL13_L,어색하다,L,generated_from_REAL13_keypoint,1.468,2.919,3.967,train
NIA_SL_WORD0012_REAL13_R,어색하다,R,generated_from_REAL13_keypoint,1.468,2.919,3.967,train
NIA_SL_WORD0012_REAL13_U,어색하다,U,generated_from_REAL13_keypoint,1.468,2.919,3.967,validation
NIA_SL_WORD0019_REAL13_D,알아서,D,generated_from_REAL13_keypoint,0.725,2.489,3.667,train
NIA_SL_WORD0019_REAL13_F,알아서,F,generated_from_REAL13_keypoint,0.725,2.489,3.667,train
NIA_SL_WORD0019_REAL13_L,알아서,L,generated_from_REAL13_keypoint,0.725,2.489,3.667,train
NIA_SL_WORD0019_REAL13_R,알아서,R,generated_from_REAL13_keypoint,0.725,2.489,3.667,train
NIA_SL_WORD0019_REAL13_U,알아서,U,generated_from_REAL13_keypoint,0.725,2.489,3.667,validation
NIA_SL_WORD0022_REAL13_D,침착,D,generated_from_REAL13_keypoint,1.15,2.927,4.3,train
NIA_SL_WORD0022_REAL13_F,침착,F,generated_from_REAL13_keypoint,1.15,2.927,4.3,train
NIA_SL_WORD0022_REAL13_L,침착,L,generated_from_REAL13_keypoint,1.15,2.927,4.3,train
NIA_SL_WORD0022_REAL13_R,침착,R,generated_from_REAL13_keypoint,1.15,2.927,4.3,train
NIA_SL_WORD0022_REAL13_U,침착,U,generated_from_REAL13_keypoint,1.15,2.927,4.3,validation
NIA_SL_WORD0023_REAL13_D,성실,D,generated_from_REAL13_keypoint,1.357,3.082,4.4,train
NIA_SL_WORD0023_REAL13_F,성실,F,generated_from_REAL13_keypoint,1.357,3.082,4.4,train
NIA_SL_WORD0023_REAL13_L,성실,L,generated_from_REAL13_keypoint,1.357,3.082,4.4,train
NIA_SL_WORD0023_REAL13_R,성실,R,generated_from_REAL13_keypoint,1.357,3.082,4.4,train
NIA_SL_WORD0023_REAL13_U,성실,U,generated_from_REAL13_keypoint,1.357,3.082,4.4,validation
NIA_SL_WORD0025_REAL13_D,싫어하다,D,generated_from_REAL13_keypoint,1.318,2.822,3.934,train
NIA_SL_WORD0025_REAL13_F,싫어하다,F,generated_from_REAL13_keypoint,1.318,2.822,3.934,train
NIA_SL_WORD0025_REAL13_L,싫어하다,L,generated_from_REAL13_keypoint,1.318,2.822,3.934,train
NIA_SL_WORD0025_REAL13_R,싫어하다,R,generated_from_REAL13_keypoint,1.318,2.822,3.934,train
NIA_SL_WORD0025_REAL13_U,싫어하다,U,generated_from_REAL13_keypoint,1.318,2.822,3.934,validation
NIA_SL_WORD0026_REAL13_D,급하다,D,generated_from_REAL13_keypoint,2.097,3.601,4.7,train
NIA_SL_WORD0026_REAL13_F,급하다,F,generated_from_REAL13_keypoint,2.097,3.601,4.7,train
NIA_SL_WORD0026_REAL13_L,급하다,L,generated_from_REAL13_keypoint,2.097,3.601,4.7,train
NIA_SL_WORD0026_REAL13_R,급하다,R,generated_from_REAL13_keypoint,2.097,3.601,4.7,train
NIA_SL_WORD0026_REAL13_U,급하다,U,generated_from_REAL13_keypoint,2.097,3.601,4.7,validation
NIA_SL_WORD0028_REAL13_D,병문안,D,generated_from_REAL13_keypoint,1.422,3.251,4.234,train
NIA_SL_WORD0028_REAL13_F,병문안,F,generated_from_REAL13_keypoint,1.422,3.251,4.234,train
NIA_SL_WORD0028_REAL13_L,병문안,L,generated_from_REAL13_keypoint,1.422,3.251,4.234,train
NIA_SL_WORD0028_REAL13_R,병문안,R,generated_from_REAL13_keypoint,1.422,3.251,4.234,train
NIA_SL_WORD0028_REAL13_U,병문안,U,generated_from_REAL13_keypoint,1.422,3.251,4.234,validation
NIA_SL_WORD0029_REAL13_D,검사,D,generated_from_REAL13_keypoint,1.055,2.793,3.867,train
NIA_SL_WORD0029_REAL13_F,검사,F,generated_from_REAL13_keypoint,1.055,2.793,3.867,train
NIA_SL_WORD0029_REAL13_L,검사,L,generated_from_REAL13_keypoint,1.055,2.793,3.867,train
NIA_SL_WORD0029_REAL13_R,검사,R,generated_from_REAL13_keypoint,1.055,2.793,3.867,train
NIA_SL_WORD0029_REAL13_U,검사,U,generated_from_REAL13_keypoint,1.055,2.793,3.867,validation
NIA_SL_WORD0033_REAL13_D,당뇨병,D,generated_from_REAL13_keypoint,2.373,4.57,5.667,train
NIA_SL_WORD0033_REAL13_F,당뇨병,F,generated_from_REAL13_keypoint,2.373,4.57,5.667,train
NIA_SL_WORD0033_REAL13_L,당뇨병,L,generated_from_REAL13_keypoint,2.373,4.57,5.667,train
NIA_SL_WORD0033_REAL13_R,당뇨병,R,generated_from_REAL13_keypoint,2.373,4.57,5.667,train
NIA_SL_WORD0033_REAL13_U,당뇨병,U,generated_from_REAL13_keypoint,2.373,4.57,5.667,validation
NIA_SL_WORD0034_REAL13_D,독서,D,generated_from_REAL13_keypoint,1.738,3.528,4.634,train
NIA_SL_WORD0034_REAL13_F,독서,F,generated_from_REAL13_keypoint,1.738,3.528,4.634,train
NIA_SL_WORD0034_REAL13_L,독서,L,generated_from_REAL13_keypoint,1.738,3.528,4.634,train
NIA_SL_WORD0034_REAL13_R,독서,R,generated_from_REAL13_keypoint,1.738,3.528,4.634,train
NIA_SL_WORD0034_REAL13_U,독서,U,generated_from_REAL13_keypoint,1.738,3.528,4.634,validation
NIA_SL_WORD0036_REAL13_D,면역,D,generated_from_REAL13_keypoint,1.616,3.315,4.467,train
NIA_SL_WORD0036_REAL13_F,면역,F,generated_from_REAL13_keypoint,1.616,3.315,4.467,train
NIA_SL_WORD0036_REAL13_L,면역,L,generated_from_REAL13_keypoint,1.616,3.315,4.467,train
NIA_SL_WORD0036_REAL13_R,면역,R,generated_from_REAL13_keypoint,1.616,3.315,4.467,train
NIA_SL_WORD0036_REAL13_U,면역,U,generated_from_REAL13_keypoint,1.616,3.315,4.467,validation
NIA_SL_WORD0037_REAL13_D,감기,D,generated_from_REAL13_keypoint,1.523,3.209,4.4,train
NIA_SL_WORD0037_REAL13_F,감기,F,generated_from_REAL13_keypoint,1.523,3.209,4.4,train
NIA_SL_WORD0037_REAL13_L,감기,L,generated_from_REAL13_keypoint,1.523,3.209,4.4,train
NIA_SL_WORD0037_REAL13_R,감기,R,generated_from_REAL13_keypoint,1.523,3.209,4.4,train
NIA_SL_WORD0037_REAL13_U,감기,U,generated_from_REAL13_keypoint,1.523,3.209,4.4,validation
NIA_SL_WORD0039_REAL13_D,변비,D,generated_from_REAL13_keypoint,2.122,3.847,4.934,train
