sample_id,label,word_id,real_id,angle,file_id,video_path,start,end,duration,npz_index,status,split
NIA_SL_WORD0001_REAL05_D,고민,WORD0001,REAL05,D,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0001_REAL05_D.mp4,,,,,pending,train
NIA_SL_WORD0001_REAL05_F,고민,WORD0001,REAL05,F,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0001_REAL05_F.mp4,,,,,pending,train
NIA_SL_WORD0001_REAL05_L,고민,WORD0001,REAL05,L,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0001_REAL05_L.mp4,,,,,pending,train
NIA_SL_WORD0001_REAL05_R,고민,WORD0001,REAL05,R,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0001_REAL05_R.mp4,,,,,pending,train
NIA_SL_WORD0001_REAL05_U,고민,WORD0001,REAL05,U,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0001_REAL05_U.mp4,,,,,pending,train
NIA_SL_WORD0002_REAL05_D,뻔뻔,WORD0002,REAL05,D,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0002_REAL05_D.mp4,,,,,pending,train
NIA_SL_WORD0002_REAL05_F,뻔뻔,WORD0002,REAL05,F,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0002_REAL05_F.mp4,,,,,pending,train
NIA_SL_WORD0002_REAL05_L,뻔뻔,WORD0002,REAL05,L,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0002_REAL05_L.mp4,,,,,pending,train
NIA_SL_WORD0002_REAL05_R,뻔뻔,WORD0002,REAL05,R,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0002_REAL05_R.mp4,,,,,pending,train
NIA_SL_WORD0002_REAL05_U,뻔뻔,WORD0002,REAL05,U,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0002_REAL05_U.mp4,,,,,pending,train
NIA_SL_WORD0003_REAL05_D,수어,WORD0003,REAL05,D,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0003_REAL05_D.mp4,,,,,pending,train
NIA_SL_WORD0003_REAL05_F,수어,WORD0003,REAL05,F,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0003_REAL05_F.mp4,,,,,pending,train
NIA_SL_WORD0003_REAL05_L,수어,WORD0003,REAL05,L,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0003_REAL05_L.mp4,,,,,pending,train
NIA_SL_WORD0003_REAL05_R,수어,WORD0003,REAL05,R,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0003_REAL05_R.mp4,,,,,pending,train
NIA_SL_WORD0003_REAL05_U,수어,WORD0003,REAL05,U,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0003_REAL05_U.mp4,,,,,pending,train
NIA_SL_WORD0004_REAL05_D,남아,WORD0004,REAL05,D,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0004_REAL05_D.mp4,,,,,pending,train
NIA_SL_WORD0004_REAL05_F,남아,WORD0004,REAL05,F,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0004_REAL05_F.mp4,,,,,pending,train
NIA_SL_WORD0004_REAL05_L,남아,WORD0004,REAL05,L,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0004_REAL05_L.mp4,,,,,pending,train
NIA_SL_WORD0004_REAL05_R,남아,WORD0004,REAL05,R,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0004_REAL05_R.mp4,,,,,pending,train
NIA_SL_WORD0004_REAL05_U,남아,WORD0004,REAL05,U,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0004_REAL05_U.mp4,,,,,pending,train
NIA_SL_WORD0005_REAL05_D,눈,WORD0005,REAL05,D,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0005_REAL05_D.mp4,,,,,pending,train
NIA_SL_WORD0005_REAL05_F,눈,WORD0005,REAL05,F,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0005_REAL05_F.mp4,,,,,pending,train
NIA_SL_WORD0005_REAL05_L,눈,WORD0005,REAL05,L,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0005_REAL05_L.mp4,,,,,pending,train
NIA_SL_WORD0005_REAL05_R,눈,WORD0005,REAL05,R,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0005_REAL05_R.mp4,,,,,pending,train
NIA_SL_WORD0005_REAL05_U,눈,WORD0005,REAL05,U,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0005_REAL05_U.mp4,,,,,pending,train
NIA_SL_WORD0006_REAL05_D,독신,WORD0006,REAL05,D,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0006_REAL05_D.mp4,,,,,pending,train
NIA_SL_WORD0006_REAL05_F,독신,WORD0006,REAL05,F,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0006_REAL05_F.mp4,,,,,pending,train
NIA_SL_WORD0006_REAL05_L,독신,WORD0006,REAL05,L,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0006_REAL05_L.mp4,,,,,pending,train
NIA_SL_WORD0006_REAL05_R,독신,WORD0006,REAL05,R,FILE10,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0006_REAL05_R.mp4,,,,,pending,train
