sample_id,word_id,label,video_path,split,source_part
NIA_SL_WORD0001_REAL04_D,WORD0001,고민,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0001_REAL04_D.mp4,train,FILE08
NIA_SL_WORD0001_REAL04_F,WORD0001,고민,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0001_REAL04_F.mp4,train,FILE08
NIA_SL_WORD0001_REAL04_L,WORD0001,고민,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0001_REAL04_L.mp4,train,FILE08
NIA_SL_WORD0001_REAL04_R,WORD0001,고민,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0001_REAL04_R.mp4,validation,FILE08
NIA_SL_WORD0001_REAL04_U,WORD0001,고민,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0001_REAL04_U.mp4,train,FILE08
NIA_SL_WORD0002_REAL04_D,WORD0002,뻔뻔,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0002_REAL04_D.mp4,train,FILE08
NIA_SL_WORD0002_REAL04_F,WORD0002,뻔뻔,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0002_REAL04_F.mp4,train,FILE08
NIA_SL_WORD0002_REAL04_L,WORD0002,뻔뻔,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0002_REAL04_L.mp4,train,FILE08
NIA_SL_WORD0002_REAL04_R,WORD0002,뻔뻔,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0002_REAL04_R.mp4,validation,FILE08
NIA_SL_WORD0002_REAL04_U,WORD0002,뻔뻔,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0002_REAL04_U.mp4,train,FILE08
NIA_SL_WORD0003_REAL04_D,WORD0003,수어,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0003_REAL04_D.mp4,train,FILE08
NIA_SL_WORD0003_REAL04_F,WORD0003,수어,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0003_REAL04_F.mp4,train,FILE08
NIA_SL_WORD0003_REAL04_L,WORD0003,수어,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0003_REAL04_L.mp4,train,FILE08
NIA_SL_WORD0003_REAL04_R,WORD0003,수어,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0003_REAL04_R.mp4,validation,FILE08
NIA_SL_WORD0003_REAL04_U,WORD0003,수어,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0003_REAL04_U.mp4,train,FILE08
NIA_SL_WORD0004_REAL04_D,WORD0004,남아,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0004_REAL04_D.mp4,train,FILE08
NIA_SL_WORD0004_REAL04_F,WORD0004,남아,C:\Users\Admin\Desktop\KSL_project\수어 영상\1.Training\[원천]08_real_word_video\04-1\NIA_SL_WORD0004_REAL04_F.mp4,validation,FILE08
