sample_id,label,word_id,real_id,angle,video_path,start,end,duration,npz_index,status
NIA_SL_WORD0815_REAL05_F,우유,WORD0815,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0815_REAL05_F.mp4,1.708,3.488,4.367,0,ok
NIA_SL_WORD0943_REAL05_F,가다,WORD0943,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0943_REAL05_F.mp4,1.217,2.224,2.7,1,ok
NIA_SL_WORD0944_REAL05_F,가다,WORD0944,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0944_REAL05_F.mp4,1.431,2.35,3.067,2,ok
NIA_SL_WORD0946_REAL05_F,가다,WORD0946,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0946_REAL05_F.mp4,1.46,2.661,3.434,3,ok
NIA_SL_WORD0953_REAL05_F,배고프다,WORD0953,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD0953_REAL05_F.mp4,1.541,2.54,3.467,4,ok
NIA_SL_WORD1152_REAL05_F,아프다,WORD1152,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD1152_REAL05_F.mp4,1.176,2.256,3.9,5,ok
NIA_SL_WORD1197_REAL05_F,배고프다,WORD1197,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD1197_REAL05_F.mp4,1.832,3.322,5.034,6,ok
NIA_SL_WORD1243_REAL05_F,우유,WORD1243,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD1243_REAL05_F.mp4,1.558,2.728,4.167,7,ok
NIA_SL_WORD1290_REAL05_F,감사,WORD1290,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD1290_REAL05_F.mp4,1.535,2.786,4.5,8,ok
NIA_SL_WORD1345_REAL05_F,가다,WORD1345,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD1345_REAL05_F.mp4,1.954,2.776,4.3,9,ok
NIA_SL_WORD1377_REAL05_F,자다,WORD1377,REAL05,F,E:\study\KSL_data_file\[원천]10_real_word_video\05-1\NIA_SL_WORD1377_REAL05_F.mp4,1.687,2.638,4.334,10,ok
