scenario,segment_index,segment_name,expected,spatial_variant,segment_variant,start_sec,end_sec,duration_sec,hand_frames,pred_label,pred_conf,target_conf,target_rank,top5,top1_hit
merge1,1,상처,상처,orig,base,0.0,4.4,4.4,51,새똥,0.18120871484279633,0.0350753478705883,4,"[{""label"": ""새똥"", ""confidence"": 0.18120871484279633}, {""label"": ""날쎄다"", ""confidence"": 0.09807673841714859}, {""label"": ""광주"", ""confidence"": 0.05728977546095848}, {""label"": ""상처"", ""confidence"": 0.0350753478705883}, {""label"": ""꺼지다"", ""confidence"": 0.03253171592950821}]",False
merge1,1,상처,상처,orig,trim_head_0.2,0.2,4.4,4.2,48,새똥,0.20831087231636047,0.11209698766469955,2,"[{""label"": ""새똥"", ""confidence"": 0.20831087231636047}, {""label"": ""상처"", ""confidence"": 0.11209698766469955}, {""label"": ""초라"", ""confidence"": 0.08156450092792511}, {""label"": ""새알"", ""confidence"": 0.04990505427122116}, {""label"": ""빠르다"", ""confidence"": 0.03242036700248718}]",False
merge1,1,상처,상처,orig,trim_tail_0.2,0.0,4.2,4.2,49,새똥,0.29648923873901367,0.03517981618642807,4,"[{""label"": ""새똥"", ""confidence"": 0.29648923873901367}, {""label"": ""꺼지다"", ""confidence"": 0.06002006307244301}, {""label"": ""광주"", ""confidence"": 0.050972577184438705}, {""label"": ""상처"", ""confidence"": 0.03517981618642807}, {""label"": ""소식"", ""confidence"": 0.034007035195827484}]",False
merge1,1,상처,상처,orig,trim_both_0.2,0.2,4.2,4.0,46,새똥,0.14425046741962433,0.0038072371389716864,33,"[{""label"": ""새똥"", ""confidence"": 0.14425046741962433}, {""label"": ""꺼지다"", ""confidence"": 0.12376108020544052}, {""label"": ""소식"", ""confidence"": 0.11940686404705048}, {""label"": ""날쎄다"", ""confidence"": 0.07094839215278625}, {""label"": ""광주"", ""confidence"": 0.02394801564514637}]",False
merge1,1,상처,상처,orig,trim_head_0.4,0.4,4.4,4.0,46,새똥,0.2864089608192444,0.05420280247926712,3,"[{""label"": ""새똥"", ""confidence"": 0.2864089608192444}, {""label"": ""새알"", ""confidence"": 0.06985791772603989}, {""label"": ""상처"", ""confidence"": 0.05420280247926712}, {""label"": ""소식"", ""confidence"": 0.04052392393350601}, {""label"": ""광주"", ""confidence"": 0.031791217625141144}]",False
merge1,1,상처,상처,orig,trim_tail_0.4,0.0,4.0,4.0,46,새똥,0.1738617867231369,0.008047963492572308,17,"[{""label"": ""새똥"", ""confidence"": 0.1738617867231369}, {""label"": ""꺼지다"", ""confidence"": 0.1368451863527298}, {""label"": ""소식"", ""confidence"": 0.07842844724655151}, {""label"": ""광주"", ""confidence"": 0.05396949499845505}, {""label"": ""날쎄다"", ""confidence"": 0.03639436885714531}]",False
merge1,1,상처,상처,orig,trim_both_0.4,0.4,4.0,3.6,41,새똥,0.5003606081008911,0.008443532511591911,8,"[{""label"": ""새똥"", ""confidence"": 0.5003606081008911}, {""label"": ""소식"", ""confidence"": 0.11473959684371948}, {""label"": ""꺼지다"", ""confidence"": 0.029782751575112343}, {""label"": ""새알"", ""confidence"": 0.021316787227988243}, {""label"": ""광주"", ""confidence"": 0.0197917390614748}]",False
merge1,1,상처,상처,orig,extend_head_0.2,0.0,4.4,4.4,51,새똥,0.18120871484279633,0.0350753478705883,4,"[{""label"": ""새똥"", ""confidence"": 0.18120871484279633}, {""label"": ""날쎄다"", ""confidence"": 0.09807673841714859}, {""label"": ""광주"", ""confidence"": 0.05728977546095848}, {""label"": ""상처"", ""confidence"": 0.0350753478705883}, {""label"": ""꺼지다"", ""confidence"": 0.03253171592950821}]",False
merge1,1,상처,상처,orig,extend_tail_0.2,0.0,4.6,4.6,54,새똥,0.20019447803497314,0.05907948315143585,3,"[{""label"": ""새똥"", ""confidence"": 0.20019447803497314}, {""label"": ""광주"", ""confidence"": 0.08331447094678879}, {""label"": ""상처"", ""confidence"": 0.05907948315143585}, {""label"": ""날쎄다"", ""confidence"": 0.0449187271296978}, {""label"": ""꺼지다"", ""confidence"": 0.044451333582401276}]",False
merge1,1,상처,상처,orig,extend_both_0.2,0.0,4.6,4.6,54,새똥,0.20019447803497314,0.05907948315143585,3,"[{""label"": ""새똥"", ""confidence"": 0.20019447803497314}, {""label"": ""광주"", ""confidence"": 0.08331447094678879}, {""label"": ""상처"", ""confidence"": 0.05907948315143585}, {""label"": ""날쎄다"", ""confidence"": 0.0449187271296978}, {""label"": ""꺼지다"", ""confidence"": 0.044451333582401276}]",False
merge1,1,상처,상처,orig,shift_left_0.2,0.0,4.2,4.2,49,새똥,0.29648923873901367,0.03517981618642807,4,"[{""label"": ""새똥"", ""confidence"": 0.29648923873901367}, {""label"": ""꺼지다"", ""confidence"": 0.06002006307244301}, {""label"": ""광주"", ""confidence"": 0.050972577184438705}, {""label"": ""상처"", ""confidence"": 0.03517981618642807}, {""label"": ""소식"", ""confidence"": 0.034007035195827484}]",False
merge1,1,상처,상처,orig,shift_right_0.2,0.2,4.6,4.4,51,새똥,0.3781721293926239,0.0066982158459723,16,"[{""label"": ""새똥"", ""confidence"": 0.3781721293926239}, {""label"": ""꺼지다"", ""confidence"": 0.04979630559682846}, {""label"": ""광주"", ""confidence"": 0.049458764493465424}, {""label"": ""소식"", ""confidence"": 0.04630579054355621}, {""label"": ""새알"", ""confidence"": 0.04365286976099014}]",False
merge1,2,붕대,붕대,orig,base,4.4,8.9,4.5,53,붕대,0.8740584254264832,0.8740584254264832,1,"[{""label"": ""붕대"", ""confidence"": 0.8740584254264832}, {""label"": ""고추가루"", ""confidence"": 0.021189557388424873}, {""label"": ""무"", ""confidence"": 0.020581383258104324}, {""label"": ""밤나무"", ""confidence"": 0.018885746598243713}, {""label"": ""중독"", ""confidence"": 0.012033075094223022}]",True
merge1,2,붕대,붕대,orig,trim_head_0.2,4.6,8.9,4.3,50,붕대,0.8828541040420532,0.8828541040420532,1,"[{""label"": ""붕대"", ""confidence"": 0.8828541040420532}, {""label"": ""고추가루"", ""confidence"": 0.03576166182756424}, {""label"": ""무"", ""confidence"": 0.021448640152812004}, {""label"": ""중독"", ""confidence"": 0.018084179610013962}, {""label"": ""밤나무"", ""confidence"": 0.01212762575596571}]",True
merge1,2,붕대,붕대,orig,trim_tail_0.2,4.4,8.7,4.3,51,붕대,0.7603158950805664,0.7603158950805664,1,"[{""label"": ""붕대"", ""confidence"": 0.7603158950805664}, {""label"": ""무"", ""confidence"": 0.041673772037029266}, {""label"": ""고추가루"", ""confidence"": 0.03025110624730587}, {""label"": ""밤나무"", ""confidence"": 0.029431767761707306}, {""label"": ""가시나무"", ""confidence"": 0.025043675675988197}]",True
